metric,value,unit
samples,221,
stable_baseline_window_start_ms,50000.0,ms
stable_baseline_window_end_ms,90000.0,ms
baseline_gas_mean,342785.5172413793,ohm
baseline_gas_std,2563.7388520435993,ohm
baseline_gas_cv,0.7479134103084907,%
exposure_min_gas,58634,ohm
exposure_min_time,127686,ms
gas_drop_from_baseline,82.89484326179635,%
baseline_humidity_mean,47.80024137931035,%RH
exposure_peak_humidity,54.625,%RH
humidity_peak_time,176970,ms
humidity_increase,6.82475862068965,percentage_points
final_60s_gas_mean,299265.70454545453,ohm
recovery_fraction_toward_baseline,84.68429339444427,%
