elapsed_ms,temp_c,humidity_pct,pressure_hpa,gas_ohm
369,27.951,43.781,1007.59,488899
1738,27.699,43.216,1007.6,404583
3107,27.437,42.95,1007.61,380457
4476,27.222,42.833,1007.61,365714
5845,27.054,42.751,1007.61,359550
7214,26.924,42.718,1007.61,356545
8583,26.823,42.817,1007.61,355432
9952,26.743,42.938,1007.6,353957
11321,26.68,43.197,1007.61,351045
12690,26.628,43.65,1007.62,348892
14059,26.586,44.149,1007.62,347472
15428,26.554,44.476,1007.62,347118
16797,26.526,44.729,1007.62,344317
18166,26.504,45.051,1007.61,345362
19535,26.485,45.306,1007.62,343278
20904,26.467,45.43,1007.62,344317
22273,26.452,45.597,1007.63,343278
23642,26.44,45.778,1007.63,341219
25011,26.429,45.884,1007.63,343278
26380,26.421,45.864,1007.62,341903
27749,26.411,45.825,1007.63,342589
29118,26.402,45.799,1007.62,342589
30487,26.394,45.703,1007.62,341219
31856,26.388,45.533,1007.63,344665
33225,26.381,45.375,1007.62,343278
34594,26.374,45.243,1007.63,341219
35963,26.367,45.135,1007.63,343624
37332,26.362,45.072,1007.63,343278
38701,26.354,45.046,1007.62,342246
40070,26.346,45.02,1007.62,345712
41439,26.34,44.994,1007.62,345712
42808,26.333,44.937,1007.62,346062
44177,26.326,44.855,1007.63,342589
45546,26.319,44.798,1007.62,345712
46915,26.313,44.728,1007.62,345013
48284,26.307,44.684,1007.62,343624
49653,26.302,44.621,1007.62,345013
51022,26.295,44.589,1007.62,343278
52391,26.288,44.582,1007.61,344665
53760,26.282,44.569,1007.6,345013
55129,26.277,44.58,1007.6,344665
56498,26.271,44.599,1007.6,343278
57867,26.264,44.554,1007.6,343624
59236,26.258,44.503,1007.59,342933
60605,26.253,44.484,1007.6,345362
61974,26.248,44.452,1007.6,344317
63343,26.241,44.47,1007.6,345362
64712,26.235,44.457,1007.59,343624
66081,26.228,44.481,1007.6,345013
67450,26.223,44.474,1007.6,344665
68819,26.218,44.455,1007.6,346414
70188,26.214,44.461,1007.6,345013
71557,26.21,44.479,1007.6,344317
72926,26.205,44.503,1007.6,345362
74295,26.199,44.521,1007.6,342246
75664,26.194,44.558,1007.6,344317
77033,26.188,44.645,1007.6,343624
78402,26.181,44.813,1007.59,343970
79771,26.176,45.0,1007.59,344665
81140,26.171,45.181,1007.59,341219
82509,26.167,45.249,1007.59,343970
83878,26.164,45.293,1007.6,340878
85247,26.158,45.273,1007.6,342933
86616,26.153,45.197,1007.6,343278
87985,26.148,45.109,1007.61,342933
89354,26.144,45.034,1007.61,345013
90723,26.139,45.014,1007.61,342933
92092,26.135,45.007,1007.61,345712
93461,26.131,45.019,1007.6,343624
94830,26.126,45.056,1007.6,345013
96199,26.12,45.106,1007.59,343970
97568,26.116,45.156,1007.59,342589
98937,26.112,45.218,1007.59,343278
100306,26.108,45.317,1007.59,342246
101675,26.104,45.455,1007.59,342933
103044,26.099,45.611,1007.59,341903
104413,26.093,45.73,1007.6,341903
